geneName,Pval,Pearson
RBM25,1.9780888883337048e-24,0.8515693914216906
RBM26,3.235109240526842e-22,0.8297614483441527
RBM33,3.881786736196666e-23,0.8392333563701798
RBM39,2.6675623379044503e-21,0.8197213430804716
RBMX,1.2118429668366825e-21,0.8235512731218346
RELA,1.2800305080991926e-21,0.8232884955219628
REPS1,1.4647092007629224e-29,0.8913348441643285
RGS12,1.0080181454212721e-20,0.8130571313732161
RGS3,7.4600228401427e-26,0.8639728230512534
RNF219,3.0737063118368035e-22,0.8299971883381679
RPRD1B,2.198457929872596e-22,0.8315319794736983
RPUSD2,8.848808236612446e-23,0.8356232325734148
RSRC2,8.251789789060638e-26,0.8636083069241851
SCAF1,5.548893024904748e-22,0.8272541141435142
SEPT7,8.88973092611103e-21,0.8136987588352684
SERBP1,8.099711215218395e-20,0.8020485586238231
SET,1.2168968947072415e-20,0.8120910466529984
SETD2,2.6613791707482962e-20,0.808016200479047
SETX,5.482300664884191e-23,0.8377315251283582
SFPQ,3.586736969008394e-26,0.8665878589069292
SFRS1,3.1915320206193373e-21,0.8188380017850723
SFRS16,4.380927919405329e-25,0.8574196985485236
SFRS17A,1.1371625590072808e-21,0.8238560587312236
SFRS3,1.0427988192149605e-25,0.8627584113305664
SFRS4,5.989258458094589e-24,0.8471035654247143
SH3BP1,7.115491378856407e-21,0.8148293170028349
SH3PXD2A,7.717642878475456e-23,0.8362285969663301
SIPA1L1,1.2131155325652212e-20,0.8121070579023943
SIPA1L3,1.0351161526888735e-22,0.834926128854771
SIRT1,1.912636556516081e-22,0.8321653078199308
SLK,3.906690756617296e-24,0.8488430921967358
SLTM,2.1635504613354013e-20,0.8091041393686169
SMARCA4,1.1137285321345236e-22,0.8345996155701564
SMARCC1,3.965061897528971e-23,0.839141460198213
SMARCC2,1.0091015644243914e-19,0.800845379073047
SMG1,1.5885439798099184e-27,0.8771286394688645
SNIP1,9.254031680505996e-27,0.8712839772869082
